STATE NAME,Sex,Age,Average Income in 2016-17 ($)
NSW,Female,72,40571
NSW,Female,73,40571
NSW,Female,74,40571
NSW,Female,75,40571
NSW,Female,76,40571
NSW,Female,77,40571
NSW,Female,78,40571
NSW,Female,79,40571
NSW,Female,80,40571
NSW,Female,81,40571
NSW,Female,82,40571
NSW,Female,83,40571
NSW,Female,84,40571
NSW,Female,85,40571
NSW,Female,86,40571
NSW,Female,87,40571
NSW,Female,88,40571
NSW,Female,89,40571
NSW,Female,90,40571
NSW,Female,91,40571
NSW,Female,92,40571
NSW,Female,93,40571
NSW,Female,94,40571
NSW,Female,95,40571
NSW,Female,96,40571
NSW,Female,97,40571
NSW,Female,98,40571
NSW,Female,99,40571
NSW,Female,100,40571
NSW,Unknown,65,50156
NSW,Unknown,66,50156
NSW,Unknown,67,50156
NSW,Unknown,68,50156
NSW,Unknown,69,50156
NSW,Unknown,70,50156
NSW,Unknown,71,50156
NSW,Unknown,72,50156
NSW,Unknown,73,50156
NSW,Unknown,74,50156
NSW,Unknown,75,50156
NSW,Unknown,76,50156
NSW,Unknown,77,50156
NSW,Unknown,78,50156
NSW,Unknown,79,50156
NSW,Unknown,80,50156
NSW,Unknown,81,50156
NSW,Unknown,82,50156
NSW,Unknown,83,50156
NSW,Unknown,84,50156
NSW,Unknown,85,50156
NSW,Unknown,86,50156
NSW,Unknown,87,50156
NSW,Unknown,88,50156
NSW,Unknown,89,50156
NSW,Unknown,90,50156
NSW,Unknown,91,50156
NSW,Unknown,92,50156
NSW,Unknown,93,50156
NSW,Unknown,94,50156
NSW,Unknown,95,50156
NSW,Unknown,96,50156
NSW,Unknown,97,50156
NSW,Unknown,98,50156
NSW,Unknown,99,50156
NSW,Unknown,100,50156
VIC,Male,19,28468
VIC,Male,20,28468
VIC,Male,21,28468
VIC,Male,22,28468
VIC,Male,23,28468
VIC,Male,24,28468
VIC,Female,19,24899
VIC,Female,20,24899
VIC,Female,21,24899
VIC,Female,22,24899
VIC,Female,23,24899
VIC,Female,24,24899
VIC,Unknown,19,26713
VIC,Unknown,20,26713
VIC,Unknown,21,26713
VIC,Unknown,22,26713
VIC,Unknown,23,26713
VIC,Unknown,24,26713
VIC,Male,25,61556
VIC,Male,26,61556
VIC,Male,27,61556
VIC,Male,28,61556
VIC,Male,29,61556
VIC,Male,30,61556
VIC,Male,31,61556
VIC,Male,32,61556
VIC,Male,33,61556
VIC,Male,34,61556
VIC,Female,25,49106
VIC,Female,26,49106
VIC,Female,27,49106
VIC,Female,28,49106
VIC,Female,29,49106
VIC,Female,30,49106
VIC,Female,31,49106
VIC,Female,32,49106
VIC,Female,33,49106
VIC,Female,34,49106
VIC,Unknown,25,55450
VIC,Unknown,26,55450
VIC,Unknown,27,55450
VIC,Unknown,28,55450
VIC,Unknown,29,55450
VIC,Unknown,30,55450
VIC,Unknown,31,55450
VIC,Unknown,32,55450
VIC,Unknown,33,55450
VIC,Unknown,34,55450
VIC,Male,35,88591
